@relation fakenews

@attribute tweet string
@attribute fake {false,true}

@data
covid-mata,false



ja-pode-sair-de-casa,true



ja-pode-abracar,true



so-pode-sair-de-mascara,false



pode-sair-sem-mascara,true



pode-abracar-normalmente,true



pode-beijar-normalmente,true



vacina-já-está-pronta,true



so-as-que-paga-de-cientista-politica-furando-quarentena,true



ainda-to-de-quarentena,false



a-taxa-de-suicidio-nao-subiu-nessa-quarentena,false


racao-de-carvao-vegetal-ou-confeccao-de-tapioca,false



sete-meses-de-quarentena-e-nao-lhe-faltou-nada-voce-e-grato-a-deus,false



fala-mal-de-quem-fura-a-quarentena-mas-posta-fotos-em-festinha-com-amgs-ne-docinho-de-coco,false



paises-da-Europa-voltando-o-lockdown-enquanto-todo-mundo-acha-que-quarentena-ja-saiu-de-moda,false



saude-mental-e-autocuidado-para-nao-surtar-na-quarentena-dicas-muito-importantes-videos-curiosidades-saude,false



nessa-quarentena-parece-q-todo-mundo-resolveu-engravidar,true



gente-vou-desabafar-aqui-estou-com-fobia-social-acho-q-foi-culpa-da-quarentena,false


existe-um-medicamento-especifico-para-o-tratamento-ou-a-prevencao-da-COVID-19,true


o-consumo-de-alcool-protege-contra-a-COVID-19,true


animais-de-estimacao-podem-transmitir-a-COVID-19-aos-humanos,true


 a-COVID-19-só-é-letal-em-idosos,true


so-pessoas-sintomaticas-transmitem-a-COVID-19,true



boldo-melhora-os-sintomas-do-coronavirus,true



tomar-cha-de-alho-ou-comer-alho-cru-cura-o-novo-coronavirus,true



tomar-suco-de-limao-previne-contra-o-coronavirus,true



colocar-roupas-ou-mascaras-sob-o-sol-por-duas-horas-elimina-o-coronavirus,true



o-coronavirus-e-uma-bacteria-feita-em-laboratorio,true



OMS-agora-recomenda-hidroxicloroquina-para-Covid-19,true



isolamento-social-e-ineficaz-e-80-por-cento-da-populacao-é-imune-a-Covid-19,true



covid-19-causa-infertilidade-em-individuos-do-sexo-masculino,true
